name,classification,lng,lat
Other,2,24.8859046264286,36.0644512557143
GasTech,1,24.8795721491437,36.0485773628593
Store: Kalami Kafenion,2,24.8581003430476,36.0766604381905
Home of Lucas,3,24.8826103166667,36.0658131011111
Other,2,24.8566850818182,36.0752523527273
Home of Lucas,3,24.88259594,36.0664656983333
Other,2,24.8861368987179,36.063680504359
Store: Brewed Awakenings,2,24.8580116908108,36.0595014748649
Store: Frydos Autosupply n' More,2,24.8711929788333,36.0519390221667
Home of Lucas,3,24.882189116,36.066446952
Store: Kalami Kafenion,2,24.8509999040678,36.0630583223729
Home of Lars,3,24.8604066292857,36.0851037064286
Home of Lucas,3,24.88180819,36.066481525
Store: Shoppers' Delight,2,24.86885276,36.05286227
Store: Abila Zacharo,2,24.8529843772973,36.0657815586486
Store: Gelatogalore,2,24.9021380376191,36.0553364495238
Other,4,24.8509298758333,36.0819318177778
Store: Hippokampos,2,24.9025970891228,36.0559490478947
Store: Guy's Gyros,2,24.857639882963,36.077192262963
Other,3,24.8604024725,36.0846057975
Home of Felix,3,24.85760781,36.0865970366667
Home of Felix,3,24.857635082,36.086326616
Store: Albert's Fine Clothing,2,24.85634585,36.07529658
Other,4,24.86021219,36.085472255
Store: Albert's Fine Clothing,2,24.856292865,36.075613165
Other,4,24.86458444625,36.07333333
Home of Ingrid,3,24.871479535,36.077700795
Other,3,24.8714404619048,36.078080217619
Other,4,24.8642055515385,36.0734033261538
Home of Ingrid,3,24.8714795466667,36.0775225433333
Store: Guy's Gyros,2,24.8999409557534,36.0545209950685
Store: Hippokampos,2,24.901058075,36.0552110375
Other,2,24.8994056908333,36.0538060166667
Other,2,24.89936742625,36.0546665866667
Other,4,24.87381226,36.067465925
Home of Isak,3,24.8779767271429,36.0667428264286
Other,4,24.874097315,36.067425095
Home of Isak,3,24.87794581,36.0671107366667
Other,4,24.85050204,36.065770245
Other,4,24.874256405,36.067431155
Other,2,24.8901786162069,36.0546519603448
Home of Bertrand,3,24.8944420021429,36.0589918014286
Home of Bertrand,3,24.8949080593333,36.0594387846667
Home of Adra,3,24.8942488675,36.05872633
Other,4,24.8957361666667,36.0591836933333
Store: Bean There Done That,2,24.8996308289474,36.0540834915789
Store: Octavio's Office Supplies,2,24.85845318,36.05857495
Home of Bertrand,3,24.89466151,36.05932838
Home of Adra,3,24.8955163914286,36.0592143114286
Other,2,24.8522937575,36.063097795
Other,4,24.8641824790909,36.0741377845455
Home of Isande,3,24.86424626,36.08412404
Home of Isande,3,24.86421114,36.084468092
Home of Isande,3,24.86428595,36.083730465
Home of Isande,3,24.86430586,36.0835387625
Store: Chostus Hotel,2,24.895138486,36.07048063
Store: Abila Zacharo,2,24.8503314866667,36.0635112
Home of Isande,3,24.86391256,36.084458485
Store: Kalami Kafenion,2,24.85240902,36.066071125
Store: Brewed Awakenings,2,24.8952121,36.070659565
Home of Nils,3,24.8859249494118,36.0668664970588
Home of Nils,3,24.885887595,36.06629445
Store: Guy's Gyros,2,24.9016308563636,36.0549608678788
Other,4,24.856405192,36.08403507
Store: Hippokampos,2,24.8572867892857,36.07668891
Other,4,24.856414645,36.08429637
Store: Hippokampos,2,24.8569900375,36.07667973
Store: Shoppers' Delight,2,24.86798323,36.052846535
Home of Ada,3,24.8657344163636,36.0761733336364
Home of Ada,3,24.86583448,36.076481805
Other,3,24.865895966,36.076825856
Home of Ada,3,24.865783915,36.07596527
Store: Shoppers' Delight,2,24.868253465,36.05283291
Other,4,24.852373165,36.065821215
Other,4,24.85024803,36.0658355533333
Home of Gustav,3,24.8590276721429,36.0839745857143
Home of Gustav,3,24.85901576,36.0835294833333
Home of Gustav,3,24.85897102,36.083214125
Store: Albert's Fine Clothing,2,24.856305605,36.076078295
Home of Hideki,3,24.8991572092308,36.06774891
Store: General Grocer,2,24.8571212966667,36.0603653066667
Home of Hideki,3,24.899405145,36.067291495
Store: Kalami Kafenion,2,24.852804325,36.066615265
Home of Hideki,3,24.899449065,36.06709779
Other,3,24.9054550410145,36.0601552450725
Other,2,24.9011329262887,36.0542110730928
Other,4,24.84164039,36.06953467
Other,4,24.8996112166667,36.06339008
Store: Shoppers' Delight,2,24.8692897342857,36.0528631857143
Other,4,24.8924460833333,36.0591134333333
Store: General Grocer,2,24.856614975,36.060360375
Other,4,24.9004110333333,36.0502522766667
Other,4,24.845932858,36.080634896
Other,2,24.9003896107143,36.0551785442857
Other,3,24.8960296965517,36.0632666796552
Other,3,24.895651105,36.06272414
Other,4,24.90023944,36.0549401
Other,3,24.89680063,36.063167395
Other,3,24.89558732,36.062621745
Other,3,24.897015194,36.063091474
